Name,Age
Miss. Marion Elsie Smith,40
Mrs. Thomas Henry (Mary E Finck) Davison,34
Master. William Loch Coutts,3
Mr. Jovan Dimic,42
Mr. Nils Martin Odahl,23
Mr. Fletcher Fellows Williams-Lambert,43
Mr. Tannous Elias,15
Mr. Josef Arnold-Franchi,25
Mr. Wazli Yousif,23
Mr. Leo Peter Vanden Steen,28
Miss. Elsie Edith Bowerman,22
Miss. Annie Clemmer Funk,38
Miss. Mary McGovern,22
Miss. Helen Mary Mockler,23
Mr. Wilhelm Skoog,40
Mr. Sebastiano del Carlo,29
Mrs. (Catherine David) Barbara,45
Mr. Adola Asim,35
Mr. Thomas O'Brien,27
Mr. Mauritz Nils Martin Adahl,30
Mrs. Frank Manley (Anna Sophia Atkinson) Warren,60
Mrs. (Mantoura Boulos) Moussa,35
Miss. Annie Jermyn,22
Mme. Leontine Pauline Aubart,24
Mr. George Achilles Harder,25
Mr. Jakob Alfred Wiklund,18
Mr. William Thomas Beavan,19
Mr. Sante Ringhini,22
Miss. Stina Viola Palsson,3
Mrs. Edgar Joseph (Leila Saks) Meyer,25
Miss. Aurora Adelia Landergren,22
Mr. Harry Elkins Widener,27
Mr. Tannous Betros,20
Mr. Karl Gideon Gustafsson,19
Miss. Rosalie Bidois,42
Miss. Maria Nakid,1
Mr. Juho Tikkanen,32
Mrs. Alexander Oskar (Mary Aline Towner) Holverson,35
Mr. Vasil Plotcharsky,27
Mr. Charles Henry Davies,18
Master. Sidney Leonard Goodwin,1
Miss. Kate Buss,36
Mr. Matthew Sadlier,19
Miss. Bertha Lehmann,17
Mr. William Ernest Carter,36
Mr. Carl Olof Jansson,21
Mr. Johan Birger Gustafsson,28
Miss. Marjorie Newell,23
Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom,24
Mr. Erik Johansson,22
Miss. Elina Olsson,31
Mr. Peter David McKane,46
Dr. Alfred Pain,23
Mrs. William H (Jessie L) Trout,28
Mr. Juha Niskanen,39
Mr. John Adams,26
Miss. Mari Aina Jussila,21
Mr. Pekka Pietari Hakkarainen,28
Miss. Marija Oreskovic,20
Mr. Shadrach Gale,34
Mr. Carl/Charles Peter Widegren,51
Master. William Rowe Richards,3
Mr. Hans Martin Monsen Birkeland,21
Miss. Ida Lefebre,3
Mr. Todor Sdycoff,42
Mr. Henry Hart,27
Miss. Daisy E Minahan,33
Mr. Alfred Fleming Cunningham,22
Mr. Johan Julian Sundman,44
Mrs. Thomas (Annie Louise Rowley) Meek,32
Mrs. James Vivian (Lulu Thorne Christian) Drew,34
Miss. Lyyli Karoliina Silven,18
Mr. William John Matthews,30
Miss. Catharina Van Impe,10
Mr. David Charters,21
Mr. Leo Zimmerman,29
Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom,28
Mr. Viktor Richard Rosblom,18
Mr. Phillippe Wiseman,54
Mrs. Charles V (Ada Maria Winfield) Clarke,28
Miss. Kate Florence Phillips,19
Mr. James Flynn,28
Mr. Berk (Berk Trembisky) Pickard,32
Mr. Mauritz Hakan Bjornstrom-Steffansson,28
Mrs. Percival (Florence Kate White) Thorneycroft,33
Mrs. Charles Alexander (Alice Adelaide Slow) Louch,42
Mr. Nikolai Erland Kallio,17
Mr. William Baird Silvey,50
Miss. Lucile Polk Carter,14
Miss. Doolina Margaret Ford,21
Mrs. Sidney (Emily Hocking) Richards,24
Mr. Mark Fortune,64
Mr. Johan Henrik Johannesson Kvillner,31
Mrs. Benjamin (Esther Ada Bloomfield) Hart,45
Mr. Leon Hampe,20
Mr. Johan Emil Petterson,25
Ms. Encarnacion Reynaldo,28
Mr. Bernt Johannesen-Bratthammer,29
Master. Washington Dodge,4
Miss. Madeleine Violet Mellinger,13
Mr. Frederic Kimber Seward,34
Miss. Marie Catherine Baclini,5
Major. Arthur Godfrey Peuchen,52
Mr. Edwy Arthur West,36
Mr. Ingvald Olai Olsen Hagland,28
Mr. Benjamin Laventall Foreman,30
Mr. Samuel L Goldenberg,49
Mr. Joseph Peduzzi,24
Mr. Ivan Jalsevac,29
Mr. Francis Davis Millet,65
Mrs. Frederick R (Marion) Kenyon,41
Miss. Ellen Toomey,50
Mr. Maurice O'Connor,17
Mr. Harry Anderson,48
Mr. William Morley,34
Mr. Arthur H Gee,47
Mr. Jacob Christian Milling,48
Mr. Simon Maisner,34
Mr. Manuel Estanslas Goncalves,38
Mr. William Campbell,21
Mr. John Montgomery Smart,56
Mr. James Scanlan,22
Miss. Helene Barbara Baclini,0.75
Mr. Arthur Keefe,39
Mr. Luka Cacic,38
Mrs. Edwy Arthur (Ada Mary Worth) West,33
Mrs. Amin S (Marie Marthe Thuillard) Jerwan,23
Miss. Ida Sofia Strandberg,22
Mr. George Quincy Clifford,40
Mr. Peter Henry Renouf,34
Mr. Lewis Richard Braund,29
Mr. Nils August Karlsson,22
Miss. Hildur E Hirvonen,2
Master. Harold Victor Goodwin,9
Mr. Anthony Wood Frost,37
Mr. Richard Henry Rouse,50
Mrs. (Hedwig) Turkula,63
Mr. Dickinson H Bishop,25
Miss. Jeannie Lefebre,8
Mrs. Frederick Maxfield (Jane Anne Forby) Hoyt,35
Mr. Edward Austin Kent,58
Mr. Francis William Somerton,30
Master. Eden Leslie Coutts,9
Mr. Konrad Mathias Reiersen Hagland,19
Mr. Einar Windelov,21
Mr. Harry Markland Molson,55
Mr. Ramon Artagaveytia,71
Mr. Edward Roland Stanley,21
Mr. Gerious Yousseff,26
Miss. Elizabeth Mussey Eustis,54
Mr. Frederick William Shellard,55
Mrs. Hudson J C (Bessie Waldo Daniels) Allison,25
Mr. Olof Svensson,24
Mr. Petar Calic,17
Miss. Mary Canavan,21
Miss. Bridget Mary O'Sullivan,21
Miss. Kristina Sofia Laitinen,37
Miss. Roberta Maioni,16
Mr. Victor de Satode Penasco y Castellana,18
Mrs. Frederick Charles (Jane Richards) Quick,33
Mr. George Bradley,37
Mr. Henry Margido Olsen,28
Mr. Fang Lang,26
Mr. Eugene Patrick Daly,29
Mr. James Webber,66
Mr. James Robert McGough,36
Mrs. Martin (Elizabeth L. Barrett) Rothschild,54
Mr. Satio Coleff,24
Mr. William Anderson Walker,47
Mrs. (Amelia Milley) Lemore,34
Mr. Patrick Ryan,30
Mrs. William A (Florence Agnes Hughes) Angle,36
Mr. Stefo Pavlovic,32
Miss. Anne Perreault,30
Mr. Janko Vovk,22
Mr. Sarkis Lahoud,35
Mrs. Louis Albert (Ida Sophia Fischer) Hippach,44
Mr. Fared Kassem,18
Mr. James Farrell,40.5
Miss. Lucy Ridsdale,50
Mr. John Farthing,49
Mr. Johan Werner Salonen,39
Mr. Richard George Hocking,23
Miss. Phyllis May Quick,2
Mr. Nakli Toufik,17
Mr. Joseph Jr Elias,17
Mrs. Catherine (Catherine Rizk) Peter,24
Miss. Marija Cacic,30
Miss. Eva Miriam Hart,7
Major. Archibald Willingham Butt,45
Miss. Bertha LeRoy,30
Mr. Samuel Beard Risien,69
Miss. Hedwig Margaritha Frolicher,22
Miss. Harriet R Crosby,36
Miss. Ingeborg Constanzia Andersson,9
Miss. Sigrid Elisabeth Andersson,11
Mr. Edward Beane,32
Mr. Walter Donald Douglas,50
Mr. Arthur Ernest Nicholson,64
Mrs. Edward (Ethel Clarke) Beane,19
Mr. Julian Padro y Manent,27
Mr. Frank John Goldsmith,33
Master. John Morgan Jr Davies,8
Mr. John Borland Jr Thayer,17
Mr. Percival James R Sharp,27
Mr. Timothy O'Brien,21
Mr. Fahim Leeni,22
Miss. Velin Ohman,22
Mr. George Wright,62
Lady. (Lucille Christiana Sutherland)Duff Gordon,48
Mr. Victor Robbins,45
Mrs. Emil (Tillie Mandelbaum) Taussig,39
Mrs. Guillaume Joseph (Emma) de Messemaeker,36
Mr. Thomas Rowan Morrow,30
Mr. Husein Sivic,40
Mr. Robert Douglas Norman,28
Mr. John Simmons,40
Miss. (Marion Ogden) Meanwell,62
Mr. Alfred J Davies,24
Mr. Ilia Stoytcheff,19
Mrs. Nils (Alma Cornelia Berglund) Palsson,29
Mr. Tannous Doharr,28
Mr. Carl Jonsson,32
Mr. George Harris,62
Mrs. Edward Dale (Charlotte Lamson) Appleton,53
Mr. John Irwin Flynn,36
Miss. Mary Kelly,22
Mr. Alfred George John Rush,16
Mr. George Patchett,19
Miss. Ethel Garside,34
Mrs. William Baird (Alice Munger) Silvey,39
Mrs. Joseph (Maria Elias) Caram,18
Mr. Eiriik Jussila,32
Miss. Julie Rachel Christy,25
Mrs. John Borland (Marian Longstreth Morris) Thayer,39
Mr. William James Downton,54
Mr. John Hugo Ross,36
Mr. Uscher Paulner,16
Miss. Ruth Taussig,18
Mr. John Denzil Jarvis,47
Mr. Maxmillian Frolicher-Stehli,60
Mr. Eliezer Gilinski,22
Mr. Joseph Murdlin,22
Mr. Matti Rintamaki,35
Mrs. Walter Bertram (Martha Eustis) Stephenson,52
Mr. William James Elsbury,47
Miss. Mary Bourke,40
Mr. John Henry Chapman,37
Mr. Jean Baptiste Van Impe,36
Miss. Jessie Wills Leitch,31
Mr. Alfred Johnson,49
Mr. Hanna Boulos,18
Sir. Cosmo Edmund Duff Gordon,49
Mrs. Sidney Samuel (Amy Frances Christy) Jacobsohn,24
Mr. Petco Slabenoff,42
Mr. Charles H Harrington,37
Mr. Ernst William Torber,44
Mr. Harry Homer,35
Mr. Edvard Bengtsson Lindell,36
Mr. Milan Karaic,30
Mr. Robert Williams Daniel,27
Mrs. Joseph (Juliette Marie Louise Lafargue) Laroche,22
Miss. Elizabeth W Shutes,40
Mrs. Anders Johan (Alfrida Konstantia Brogren) Andersson,39
Mr. Jose Neto Jardin,21
Miss. Margaret Jane Murphy,18
Mr. John Horgan,22
Mr. William Alfred Brocklebank,35
Miss. Alice Herman,24
Mr. Ernst Gilbert Danbom,34
Mrs. William Arthur (Cordelia K Stanlick) Lobb,26
Miss. Marion Louise Becker,4
Mr. Lawrence Gavey,26
Mr. Antoni Yasbeck,27
Mr. Edwin Nelson Jr Kimball,42
Mr. Sahid Nakid,20
Mr. Henry Damsgaard Hansen,21
Mr. David John Bowen,21
Mr. Frederick Sutton,61
Rev. Charles Leonard Kirkland,57
Miss. Gretchen Fiske Longley,21
Mr. Guentcho Bostandyeff,26
Mr. Patrick D O'Connell,18
Mr. Algernon Henry Wilson Barkworth,80
Mr. Johan Svensson Lundahl,51
Dr. Max Stahelin-Maeglin,32
Mr. William Henry Marsh Parr,30
Miss. Mabel Skoog,9
Miss. Mary Davis,28
Mr. Antti Gustaf Leinonen,32
Mr. Harvey Collyer,31
Mrs. Juha (Maria Emilia Ojala) Panula,41
Mr. Percival Thorneycroft,37
Mr. Hans Peder Jensen,20
Mlle. Emma Sagesser,24
Miss. Margit Elizabeth Skoog,2
Mr. Choong Foo,32
Miss. Eugenie Baclini,0.75
Mr. Henry Sleeper Harper,48
Mr. Liudevit Cor,19
Col. Oberst Alfons Simonius-Blumer,56
Mr. Edward Willey,21
Miss. Amy Zillah Elsie Stanley,23
Mr. Mito Mitkoff,23
Miss. Elsie Doling,18
Mr. Johannes Halvorsen Kalvik,21
Miss. Hanora O'Leary,16
Miss. Hanora Hegarty,18
Mr. Leonard Mark Hickman,24
Mr. Alexander Radeff,27
Mrs. John (Catherine) Bourke,32
Mr. George Floyd Eitemiller,23
Mr. Arthur Webster Newell,58
Dr. Henry William Frauenthal,50
Mr. Mohamed Badt,40
Mr. Edward Pomeroy Colley,47
Mr. Peju Coleff,36
Mr. Eino William Lindqvist,20
Mr. Lewis Hickman,32
Mr. Reginald Fenton Butler,25
Mr. Knud Paust Rommetvedt,49
Mr. Jacob Cook,43
Mrs. Elmer Zebley (Juliet Cummins Wright) Taylor,48
Mrs. Thomas William Solomon (Elizabeth Catherine Ford) Brown,40
Mr. Thornton Davidson,31
Mr. Henry Michael Mitchell,70
Mr. Charles Wilhelms,31
Mr. Ennis Hastings Watson,19
Mr. Gustaf Hjalmar Edvardsson,18
Mr. Frederick Charles Sawyer,24.5
Miss. Anna Sofia Turja,18
Mrs. Frederick (Augusta Tyler) Goodwin,43
Mr. Thomas Drake Martinez Cardeza,36
Miss. Katie Peters,28
Mr. Hammad Hassab,27
Mr. Thor Anderson Olsvigen,20
Mr. Charles Edward Goodwin,14
Mr. Thomas William Solomon Brown,60
Mr. Joseph Philippe Lemercier Laroche,25
Mr. Jaako Arnold Panula,14
Mr. Branko Dakic,19
Mr. Eberhard Thelander Fischer,18
Miss. Georgette Alexandra Madill,15
Mr. Albert Adrian Dick,31
Miss. Manca Karun,4
Mr. Ali Lam,37
Mr. Khalil Saad,25
Col. John Weir,60
Mr. Charles Henry Chapman,52
Mr. James Kelly,44
Miss. Katherine Mullens,19
Mr. John Borland Thayer,49
Mr. Adolf Mathias Nicolai Olsen Humblen,42
Mrs. John Jacob (Madeleine Talmadge Force) Astor,18
Mr. Spencer Victor Silverthorne,35
Miss. Saiide Barbara,18
Mr. Martin Gallagher,25
Mr. Henrik Juul Hansen,26
Mr. Henry Samuel Morley,39
Mrs. Florence Kelly,45
Mr. Edward Pennington Calderhead,42
Miss. Alice Cleaver,22
Master. Halim Gonios Moubarek,4
Mlle. Berthe Antonine Mayne,24
Mr. Herman Klaber,41
Mr. Elmer Zebley Taylor,48
Mr. August Viktor Larsson,29
Mr. Samuel Greenberg,52
Mr. Peter Andreas Lauritz Andersen Soholt,19
Miss. Caroline Louise Endres,38
Miss. Edwina Celia Troutt,27
Mr. Malkolm Joackim Johnson,33
Miss. Annie Jessie Harper,6
Mr. Svend Lauritz Jensen,17
Mr. William Henry Gillespie,34
Mr. Henry Price Hodges,50
Mr. Norman Campbell Chambers,27
Mr. Luka Oreskovic,20
Mrs. Peter Henry (Lillian Jefferys) Renouf,30
Miss. Margareth Mannion,28
Mr. Kurt Arnold Gottfrid Bryhl,25
Miss. Pieta Sofia Ilmakangas,25
Miss. Elisabeth Walton Allen,29
Mr. Houssein G N Hassan,11
Mr. Robert J Knight,41
Mr. William John Berriman,23
Mr. Moses Aaron Troupiansky,23
Mr. Leslie Williams,28.5
Mrs. Edward (Margaret Ann Watson) Ford,48
Mr. Gustave J Lesurer,35
Mr. Kanio Ivanoff,20
Mr. Minko Nankoff,32
Mr. Walter James Hawksford,45
Mr. Tyrell William Cavendish,36
Miss. Susan Parker Ryerson,21
Mr. Neal McNamee,24
Mr. Juho Stranden,31
Capt. Edward Gifford Crosby,70
Mr. Rossmore Edward Abbott,16
Miss. Anna Sinkkonen,30
Mr. Daniel Warner Marvin,19
Mr. Michael Connaghton,31
Miss. Joan Wells,4
Master. Meier Moor,6
Mr. Johannes Joseph Vande Velde,33
Mr. Lalio Jonkoff,23
Mrs. Samuel (Jane Laver) Herman,48
Master. Viljo Hamalainen,0.67
Mr. August Sigfrid Carlsson,28
Mr. Percy Andrew Bailey,18
Mr. Thomas Leonard Theobald,34
the Countess. of (Lucy Noel Martha Dyer-Edwards) Rothes,33
Mr. John Garfirth,23
Mr. Iisakki Antino Aijo Nirva,41
Mr. Hanna Assi Barah,20
Mrs. William Ernest (Lucile Polk) Carter,36
Mr. Hans Linus Eklund,16
Mrs. John C (Anna Andrews) Hogeboom,51
Dr. Arthur Jackson Brewe,46
